AGE,AC5,AC10,AC20
0,000-005,000-010,000-020
1,000-005,000-010,000-020
2,000-005,000-010,000-020
3,000-005,000-010,000-020
4,000-005,000-010,000-020
5,000-005,000-010,000-020
6,006-010,000-010,000-020
7,006-010,000-010,000-020
8,006-010,000-010,000-020
9,006-010,000-010,000-020
10,006-010,000-010,000-020
11,011-015,011-020,000-020
12,011-015,011-020,000-020
13,011-015,011-020,000-020
14,011-015,011-020,000-020
15,011-015,011-020,000-020
16,016-020,011-020,000-020
17,016-020,011-020,000-020
18,016-020,011-020,000-020
19,016-020,011-020,000-020
20,016-020,011-020,000-020
21,021-025,021-030,021-040
22,021-025,021-030,021-040
23,021-025,021-030,021-040
24,021-025,021-030,021-040
25,021-025,021-030,021-040
26,026-030,021-030,021-040
27,026-030,021-030,021-040
28,026-030,021-030,021-040
29,026-030,021-030,021-040
30,026-030,021-030,021-040
31,031-035,031-040,021-040
32,031-035,031-040,021-040
33,031-035,031-040,021-040
34,031-035,031-040,021-040
35,031-035,031-040,021-040
36,036-040,031-040,021-040
37,036-040,031-040,021-040
38,036-040,031-040,021-040
39,036-040,031-040,021-040
40,036-040,031-040,021-040
41,041-045,041-050,041-060
42,041-045,041-050,041-060
43,041-045,041-050,041-060
44,041-045,041-050,041-060
45,041-045,041-050,041-060
46,046-050,041-050,041-060
47,046-050,041-050,041-060
48,046-050,041-050,041-060
49,046-050,041-050,041-060
50,046-050,041-050,041-060
51,051-055,051-060,041-060
52,051-055,051-060,041-060
53,051-055,051-060,041-060
54,051-055,051-060,041-060
55,051-055,051-060,041-060
56,056-060,051-060,041-060
57,056-060,051-060,041-060
58,056-060,051-060,041-060
59,056-060,051-060,041-060
60,056-060,051-060,041-060
61,061-065,061-070,061-080
62,061-065,061-070,061-080
63,061-065,061-070,061-080
64,061-065,061-070,061-080
65,061-065,061-070,061-080
66,066-070,061-070,061-080
67,066-070,061-070,061-080
68,066-070,061-070,061-080
69,066-070,061-070,061-080
70,066-070,061-070,061-080
71,071-075,071-080,061-080
72,071-075,071-080,061-080
73,071-075,071-080,061-080
74,071-075,071-080,061-080
75,071-075,071-080,061-080
76,076-080,071-080,061-080
77,076-080,071-080,061-080
78,076-080,071-080,061-080
79,076-080,071-080,061-080
80,076-080,071-080,061-080
81,081-085,081-090,081-100
82,081-085,081-090,081-100
83,081-085,081-090,081-100
84,081-085,081-090,081-100
85,081-085,081-090,081-100
86,086-090,081-090,081-100
87,086-090,081-090,081-100
88,086-090,081-090,081-100
89,086-090,081-090,081-100
90,086-090,081-090,081-100
91,091-095,091-100,081-100
92,091-095,091-100,081-100
93,091-095,091-100,081-100
94,091-095,091-100,081-100
95,091-095,091-100,081-100
96,096-100,091-100,081-100
97,096-100,091-100,081-100
98,096-100,091-100,081-100
99,096-100,091-100,081-100
100,096-100,091-100,081-100
101,101-105,101-110,101-120
102,101-105,101-110,101-120
103,101-105,101-110,101-120
104,101-105,101-110,101-120
105,101-105,101-110,101-120
106,106-110,101-110,101-120
107,106-110,101-110,101-120
108,106-110,101-110,101-120
109,106-110,101-110,101-120
110,106-110,101-110,101-120
111,111-115,111-120,101-120
112,111-115,111-120,101-120
113,111-115,111-120,101-120
114,111-115,111-120,101-120
115,111-115,111-120,101-120
116,116-120,111-120,101-120
117,116-120,111-120,101-120
118,116-120,111-120,101-120
119,116-120,111-120,101-120
120,116-120,111-120,101-120
121,121-125,121-130,121-140
122,121-125,121-130,121-140
123,121-125,121-130,121-140
124,121-125,121-130,121-140
125,121-125,121-130,121-140
126,126-130,121-130,121-140
127,126-130,121-130,121-140
128,126-130,121-130,121-140
129,126-130,121-130,121-140
130,126-130,121-130,121-140
131,131-135,131-140,121-140
132,131-135,131-140,121-140
133,131-135,131-140,121-140
134,131-135,131-140,121-140
135,131-135,131-140,121-140
136,136-140,131-140,121-140
137,136-140,131-140,121-140
138,136-140,131-140,121-140
139,136-140,131-140,121-140
140,136-140,131-140,121-140
141,141-145,141-150,141-160
142,141-145,141-150,141-160
143,141-145,141-150,141-160
144,141-145,141-150,141-160
145,141-145,141-150,141-160
146,146-150,141-150,141-160
147,146-150,141-150,141-160
148,146-150,141-150,141-160
149,146-150,141-150,141-160
150,146-150,141-150,141-160
151,151-155,151-160,141-160
152,151-155,151-160,141-160
153,151-155,151-160,141-160
154,151-155,151-160,141-160
155,151-155,151-160,141-160
156,156-160,151-160,141-160
157,156-160,151-160,141-160
158,156-160,151-160,141-160
159,156-160,151-160,141-160
160,156-160,151-160,141-160
161,161-165,161-170,161-180
162,161-165,161-170,161-180
163,161-165,161-170,161-180
164,161-165,161-170,161-180
165,161-165,161-170,161-180
166,166-170,161-170,161-180
167,166-170,161-170,161-180
168,166-170,161-170,161-180
169,166-170,161-170,161-180
170,166-170,161-170,161-180
171,171-175,171-180,161-180
172,171-175,171-180,161-180
173,171-175,171-180,161-180
174,171-175,171-180,161-180
175,171-175,171-180,161-180
176,176-180,171-180,161-180
177,176-180,171-180,161-180
178,176-180,171-180,161-180
179,176-180,171-180,161-180
180,176-180,171-180,161-180
181,181-185,181-190,181-200
182,181-185,181-190,181-200
183,181-185,181-190,181-200
184,181-185,181-190,181-200
185,181-185,181-190,181-200
186,186-190,181-190,181-200
187,186-190,181-190,181-200
188,186-190,181-190,181-200
189,186-190,181-190,181-200
190,186-190,181-190,181-200
191,191-195,191-200,181-200
192,191-195,191-200,181-200
193,191-195,191-200,181-200
194,191-195,191-200,181-200
195,191-195,191-200,181-200
196,196-200,191-200,181-200
197,196-200,191-200,181-200
198,196-200,191-200,181-200
199,196-200,191-200,181-200
200,196-200,191-200,181-200
201,201-205,201-210,201-220
202,201-205,201-210,201-220
203,201-205,201-210,201-220
204,201-205,201-210,201-220
205,201-205,201-210,201-220
206,206-210,201-210,201-220
207,206-210,201-210,201-220
208,206-210,201-210,201-220
209,206-210,201-210,201-220
210,206-210,201-210,201-220
211,211-215,211-220,201-220
212,211-215,211-220,201-220
213,211-215,211-220,201-220
214,211-215,211-220,201-220
215,211-215,211-220,201-220
216,216-220,211-220,201-220
217,216-220,211-220,201-220
218,216-220,211-220,201-220
219,216-220,211-220,201-220
220,216-220,211-220,201-220
221,221-225,221-230,221-240
222,221-225,221-230,221-240
223,221-225,221-230,221-240
224,221-225,221-230,221-240
225,221-225,221-230,221-240
226,226-230,221-230,221-240
227,226-230,221-230,221-240
228,226-230,221-230,221-240
229,226-230,221-230,221-240
230,226-230,221-230,221-240
231,231-235,231-240,221-240
232,231-235,231-240,221-240
233,231-235,231-240,221-240
234,231-235,231-240,221-240
