METRIC,SC,AC_5,Pw,Pr,Pj,Sb,Sw,Bf,Ce,La,He,Po,Bw,Mh,OH
BA,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,0,20,26.2,22.3,21.9,14.4,14.8,14.4,10.1,10.1,11.8,15.7,9.9,11.8,11.8
BA,0,25,31.3,26.9,23.9,24.3,25,24.3,17,17,13.7,18.9,13.2,13.7,13.7
BA,0,30,34.1,31,25.2,31,31.9,31,21.7,21.7,15.5,21.7,16.2,15.5,15.5
BA,0,35,34.3,34.3,26.1,35.4,36.5,35.4,24.8,24.8,17.2,24.3,18.9,17.2,17.2
BA,0,40,37.6,37,26.6,38.7,39.9,38.7,27.1,27.1,18.8,26.8,21.2,18.8,18.8
BA,0,45,38.7,38.5,27,41.3,42.5,41.3,28.9,28.9,20.2,28.7,22.9,20.2,20.2
BA,0,50,39.6,39.7,27.2,42.9,44.2,42.9,30,30,21.4,30.5,24.5,21.4,21.4
BA,0,55,40.3,40.7,27.3,44.5,45.8,44.5,31.2,31.2,22.8,31.9,25.6,22.8,22.8
BA,0,60,40.9,41.4,27.4,45.4,46.8,45.4,31.8,31.8,24,33.2,26.5,24,24
BA,0,65,41.3,42,27.4,46.1,47.5,46.1,32.3,32.3,25.2,34.2,27.2,25.2,25.2
BA,0,70,41.6,42.5,27.3,46.8,48.2,46.8,32.8,32.8,26.3,35,27.7,26.3,26.3
BA,0,75,41.9,43,27.3,47.3,48.7,47.3,33.1,33.1,27.3,35.7,28,27.3,27.3
BA,0,80,42.1,43.4,27.3,47.8,49.2,47.8,33.5,33.5,28.3,36.1,28.1,28.3,28.3
BA,0,85,42.2,43.7,27.2,48,49.4,48,33.6,33.6,29.3,36.5,28.2,29.3,29.3
BA,0,90,42.3,44,27.2,48.4,49.9,48.4,33.9,33.9,30.1,36.6,28.3,30.1,30.1
BA,0,95,42.5,44.1,27.1,48.6,50.1,48.6,34,34,31,36.8,28.3,31,31
BA,0,100,42.6,44.2,27,48.7,50.2,48.7,34.1,34.1,31.8,37,28.3,31.8,31.8
BA,0,105,42.8,44.4,27,49,50.5,49,34.3,34.3,32.5,37,28.3,32.5,32.5
BA,0,110,42.9,44.5,27,49,50.5,49,34.3,34.3,33.2,37,28.3,33.2,33.2
BA,0,115,43,44.6,27,48.9,50.4,48.9,34.2,34.2,33.8,37,28.3,33.8,33.8
BA,0,120,43.1,44.7,27,48.9,50.4,48.9,34.2,34.2,34.4,37,28.3,34.4,34.4
BA,0,125,43.2,44.8,26.7,48.9,50.4,48.9,34.2,34.2,35,37,28.3,35,35
BA,0,130,43.3,44.9,26.4,48.9,50.4,48.9,34.2,34.2,35.5,37,28.3,35.5,35.5
BA,0,135,43.4,45,26.1,48.8,50.3,48.8,34.2,34.2,36,37,28.3,36,36
BA,0,140,43.5,45.1,25.8,48.8,50.3,48.8,34.2,34.2,36.5,37,28.3,36.5,36.5
BA,0,145,43.6,45.2,25.5,48.8,50.3,48.8,34.2,34.2,36.9,37,28.3,36.9,36.9
BA,0,150,43.7,45.3,25.2,48.8,50.2,48.8,34.1,34.1,37.3,37,28.3,37.3,37.3
BA,0,155,43.8,45.3,24.9,48.7,50.2,48.7,34.1,34.1,37.6,37,28.3,37.6,37.6
BA,0,160,43.8,45.3,24.6,48.7,50.2,48.7,34.1,34.1,38,37,28.3,38,38
BA,0,165,43.9,45.3,24.3,48.7,50.2,48.7,34.1,34.1,38.3,37,28.3,38.3,38.3
BA,0,170,44,45.3,24,48.7,50.1,48.7,34.1,34.1,38.6,37,28.3,38.6,38.6
BA,0,175,44.2,45.3,23.7,48.6,50.1,48.6,34.1,34.1,38.8,37,28.3,38.8,38.8
BA,0,180,44.2,45.3,23.4,48.6,50.1,48.6,34,34,39,37,28.3,39,39
BA,0,185,44.3,45.3,23.1,48.6,50.1,48.6,34,34,39.2,37,28.3,39.2,39.2
BA,0,190,44.4,45.3,22.8,48.6,50,48.6,34,34,39.4,37,28.3,39.4,39.4
