RECNO,REGION,FIELD,SQL_ORDER,SQL_NAME,SQL_SYNTAX,EASY_NAME,Edited,Comments
600,GLSL,ECOGRP,1,ConLow,EcoNum = 126 or Econum = 127 or Econum = 128 or Econum = 129 or Econum = 134 or Econum = 135 or Econum = 136 or Econum = 137 or Econum = 222 or Econum = 223 or Econum = 224,,,
601,GLSL,ECOGRP,2,HwdLow,EcoNum = 71 or Econum = 120 or Econum = 130 or Econum = 131 or Econum = 132 or Econum = 133,,,
602,GLSL,ECOGRP,3,UplCe,EcoNum = 13 or Econum = 36 or Econum = 51 or Econum = 66 or Econum = 84 or Econum = 100 or Econum = 115,,,
603,GLSL,ECOGRP,4,ShalES,EcoNum = 11 or Econum = 12 or Econum = 14 or Econum = 15 or Econum = 16 or Econum = 17 or Econum = 18 or Econum = 19 or Econum = 23 or Econum = 24 or Econum = 25 or Econum = 26 or Econum = 27 or Econum = 28,,,
604,GLSL,ECOGRP,5,NA,EcoNum>0,,,
810,GLSL,LGCLS,1,PSSap,(LGDS='P') or (LGDS='S'),,,
811,GLSL,LGCLS,2,Immat,(LGDS='I'),,,
812,GLSL,LGCLS,3,TolHwd,((LGFU='HDSL1')or(LGFU='HDSL2')or(LGFU='HDUS')or(LGFU='BY')or(LGFU='OAK')) and ((LGDS='M')or(LGDS='L') or (LGDS='T')),,,
813,GLSL,LGCLS,4,IntHwd,((LGFu='BW')or(LGFU='PO')) and ((LGDS='M') or (LGDS='L')or(LGDS='T')),,,
814,GLSL,LGCLS,5,PwMix,((LGFU='PWUS4') or (LGFU='PWOR') or (LGFU='PWUSH')or (LGFU='PWST')) and ((LGDS='M')or(LGDS='L') or (LGDS='T')),,,
815,GLSL,LGCLS,6,MixWd,((LGFU='HE') or (LGFU='LWMW') or (LGFU='MWD')or (LGFU='MWR') or (LGFU='MWUS')) and ((LGDS='M') or (LGDS='L') or (LGDS='T')),,,
816,GLSL,LGCLS,7,MixPine,((LGFU='PR') or (LGFU='PWUSC') or (LGFU='PJ1') or (LGFU='PJ2')) and ((LGDS='M') or (LGDS='L') or (LGDS='T')),,,
817,GLSL,LGCLS,8,SpBfCe,((LGFU='SP1') or (LGFU='SF') or (LGFU='SB') or (LGFU='CE') or (LGFU='LC')) and ((LGDS='M') or (LGDS='L') or (LGDS='T')),,,
680,GLSL,LGDS,1001,P,"(LGFU='PR' AND AGE<=14) OR
(LGFU='PWUS4' AND AGE<=14) OR
(LGFU='PWOR' AND AGE<=14) OR
(LGFU='PWUSC' AND AGE<=14) OR
(LGFU='PWUSH' AND AGE<=14) OR
(LGFU='PWST' AND AGE<=14) OR
(LGFU='PJ1' AND AGE<=9) OR
(LGFU='PJ2' AND AGE<=9) OR
(LGFU='SP1' AND AGE<=9) OR
(LGFU='SF' AND AGE<=14) OR
(LGFU='SB' AND AGE<=9) OR
(LGFU='LC' AND AGE<=14) OR
(LGFU='HE' AND AGE<=14) OR
(LGFU='CE' AND AGE<=14) OR
(LGFU='LWMW' AND AGE<=14) OR
(LGFU='MWD' AND AGE<=9) OR
(LGFU='MWR' AND AGE<=9) OR
(LGFU='MWUS' AND AGE<=14) OR
(LGFU='PO' AND AGE<=9) OR
(LGFU='BW' AND AGE<=9) OR
(LGFU='HDSL1' AND AGE<=14) OR
(LGFU='HDSL2' AND AGE<=14) OR
(LGFU='HDUS' AND AGE<=14) OR
(LGFU='BY' AND AGE<=14) OR
(LGFU='OAK' AND AGE<=14)",,,
681,GLSL,LGDS,1002,S,"(LGFU='PR' AND AGE>=15 AND AGE<=39) OR
(LGFU='PWUS4' AND AGE>=15 AND AGE<=34) OR
(LGFU='PWOR' AND AGE>=15 AND AGE<=34) OR
(LGFU='PWUSC' AND AGE>=15 AND AGE<=34) OR
(LGFU='PWUSH' AND AGE>=15 AND AGE<=34) OR
(LGFU='PWST' AND AGE>=15 AND AGE<=34) OR
(LGFU='PJ1' AND AGE>=10 AND AGE<=24) OR
(LGFU='PJ2' AND AGE>=10 AND AGE<=24) OR
(LGFU='SP1' AND AGE>=10 AND AGE<=24) OR
(LGFU='SF' AND AGE>=15 AND AGE<=29) OR
(LGFU='SB' AND AGE>=10 AND AGE<=24) OR
(LGFU='LC' AND AGE>=15 AND AGE<=29) OR
(LGFU='HE' AND AGE>=15 AND AGE<=44) OR
(LGFU='CE' AND AGE>=15 AND AGE<=34) OR
(LGFU='LWMW' AND AGE>=15 AND AGE<=34) OR
(LGFU='MWD' AND AGE>=10 AND AGE<=29) OR
(LGFU='MWR' AND AGE>=10 AND AGE<=29) OR
(LGFU='MWUS' AND AGE>=15 AND AGE<=34) OR
(LGFU='PO' AND AGE>=10 AND AGE<=24) OR
(LGFU='BW' AND AGE>=10 AND AGE<=29) OR
(LGFU='HDSL1' AND AGE>=15 AND AGE<=39) OR
(LGFU='HDSL2' AND AGE>=15 AND AGE<=34) OR
(LGFU='HDUS' AND AGE>=15 AND AGE<=34) OR
(LGFU='BY' AND AGE>=15 AND AGE<=39) OR
(LGFU='OAK' AND AGE>=15 AND AGE<=34)",,,
