RECNO,REGION,FIELD,SQL_ORDER,SQL_NAME,SQL_SYNTAX,EASY_NAME,Edited,Comments
1,NWBOR,ECOGRP,1,ConLow,Econum = 126 or Econum = 127 or Econum = 128 or Econum = 129 or Econum = 134 or Econum = 135 or Econum = 136 or Econum = 137 or Econum = 222 or Econum = 223 or Econum = 224,,,
2,NWBOR,ECOGRP,2,HwdLow,Econum = 130 or Econum = 131 or Econum = 132 or Econum = 133,,,
3,NWBOR,ECOGRP,3,UplCe,Econum = 13 or Econum = 36 or Econum = 51 or Econum = 66 or Econum = 84 or Econum = 100 or Econum = 115,,,
4,NWBOR,ECOGRP,4,ShalES,Econum = 11 or Econum = 12 or Econum = 14 or Econum = 15 or Econum = 16 or Econum = 17 or Econum = 18 or Econum = 19 or Econum = 23 or Econum = 24 or Econum = 25 or Econum = 26 or Econum = 27 or Econum = 28,,,
5,NWBOR,ECOGRP,5,NA,EcoNum>0,,,
6,NWBOR,SFU,1,PWDOM,(Pw>=40),,,
7,NWBOR,SFU,2,PRDOM,(Pr >= 70),,,
8,NWBOR,SFU,3,PRWMX,(Pw + Pr >= 40),,,
9,NWBOR,SFU,4,UPLCE,(Ce >= 20 And EcoGrp = 'UplCe') Or ((Ce >= 40 And Bf <= 10 And (Pr + Pw + Pj + Sw + Bf + Po) >= 20 And AllCon >= 70) And (EcoGrp <> 'ConLow')),,,
10,NWBOR,SFU,5,OCLOW,(Ce + La >= 50 Or (LeadSpc = 'Ce' or LeadSpc = 'La')) And EcoGrp = 'ConLow',,,
11,NWBOR,SFU,6,SBLOW,(EcoGrp = 'ConLow') Or (EcoGrp = 'HwdLow' And AllCon > AllHwd),,,
12,NWBOR,SFU,7,SBSHA,(Sb >= 70 And Po + Bw <= 20 And EcoGrp = 'ShalES'),,,
13,NWBOR,SFU,8,SBDEE,(Sb >= 70 And Po + Bw <= 20),,,
14,NWBOR,SFU,9,PJSHA,(Pj >= 70 And Po + Bw <= 20 and EcoGrp='ShalES') Or (Pj >= 50 And Po + Bw <= 20 And AGE >= 120 And EcoGrp = 'ShalES'),,,
15,NWBOR,SFU,10,PJDEE,(Pj >= 70 And Po + Bw <= 20) Or (Pj >= 50 And Po + Bw <= 20 And AGE >= 120) Or (Pj >= 70 And (EcoNum = 34 or EcoNum = 35)),,,
16,NWBOR,SFU,11,POSHA,(Po >= 70 And EcoGrp = 'ShalES'),,,
17,NWBOR,SFU,12,PODEE,(Po >= 70),,,
18,NWBOR,SFU,13,BWSHA,(Bw >= 60 And Po + Bw >= 70 And EcoGrp = 'ShalES'),,,
19,NWBOR,SFU,14,BWDEE,(Bw >= 60 And Po + Bw >= 70),,,
20,NWBOR,SFU,15,OTHHD,(Uh + Lh >= 30),,,
21,NWBOR,SFU,16,SBMX1,AllCon >= 70 And Bf <= 10 And Po + Bw <= 20 And Sb + Sw > Pj And Sb + Sw + Pj >= 40,,,
22,NWBOR,SFU,17,PJMX1,AllCon >= 70 And Bf <= 10 And Po + Bw <= 20 And Sb + Sw <= Pj And Sb + Sw + Pj >= 40,,,
23,NWBOR,SFU,18,BFPUR,(Bf >= 70),,,
24,NWBOR,SFU,19,BFMX1,(AllCon >= 70 And Bf > 10 And Bf + Sw >= 30),,,
25,NWBOR,SFU,20,HRDOM,(AllHwd >= 70),,,
26,NWBOR,SFU,21,HRDMW,(AllHwd >= 50),,,
27,NWBOR,SFU,22,CONMX,(AllCon > 50),,,
28,NWBOR,SFU,23,HRDMW,(AllHwd >= AllCon),,,
