"POLYTYPE","OWNER","YRSOURCE","SOURCE","FORMOD","DEVSTAGE","YRDEP","DEPTYPE","INCIDSPC","VERT","HORIZ","PRI_ECO","SEC_ECO","ACCESS1","ACCESS2","MGMTCON1","MGMTCON2","STKG","YRORG","SPCOMP","LEADSPC","AGE","HT","CCLO","SC","MANAGED","SMZ","PLANFU","AU","AVAIL","SILVSYS","NEXTSTG","YIELD","OMZ","SGR","SFU","LGFU","LGDS","LGCLS","PFT","Ha","PW","PR","PJ","SB","SW","BF","CE","LA","HE","OC","PO","PT","PB","PL","BW","MH","MR","AB","AW","BD","BE","CH","EX","IW","YB","QR","OB","OW","OH","UH","LH","AllCon","AllHwd","POLYID","RECNO","ECONUM","ECOPRI","MUNO","PIAMID","Vertices","EcoGroup","Shape_Leng","Shape_Area"
"FOR","3",2008.00,"DIGITALP","RP","ESTNAT",0.00,,"NON","CX","SS","B099TtD n",,"NON",,"NONE",,0.80,1918.00,"Sb  40Pt  30Bf  20Bw  10","Sb",103.00,12.12,80.00,2.00,"U","South","MW2","MC2","U","CC","CONVENT","PRSNT",,,"MW1","MW1","L","MLMix","MIX",48.54,0.00,0.00,0.00,40.00,0.00,20.00,0.00,0.00,0.00,0.00,30.00,30.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,40.00,"463960350",12127.00,99.00,"B099",110.00,21003.00,657.00,"FSFL",1338.09,81364.02
"FOR","3",2008.00,"DIGITALP","RP","ESTNAT",0.00,,"NON","CX","SS","B128TlD n",,"NON",,"NONE",,0.80,1948.00,"Sb  60La  20Bf  20","Sb",73.00,9.09,80.00,2.00,"U","South","LC1","LC1","U","CC","CONVENT","PRSNT",,,"LC1","LC1","I","ImmCon","MCL",30.05,0.00,0.00,0.00,60.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,"463958533",12130.00,128.00,"B128",110.00,21006.00,504.00,"Hydr",1044.97,57078.08
"FOR","3",2008.00,"DIGITALP","RP","ESTNAT",0.00,,"NON","CX","SS","B129TlD n",,"NON",,"NONE",,0.70,1928.00,"La  40Cw  30Sb  20Bf  10","La",93.00,8.08,80.00,3.00,"U","South","LC1","LC1","U","CC","CONVENT","PRSNT",,,"LC1","LC1","M","MLLwCon","MCL",9.22,0.00,0.00,0.00,20.00,0.00,10.00,30.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,"463960958",12139.00,129.00,"B129",110.00,21015.00,220.00,"Hydr",106.50,311.46
"FOR","3",2008.00,"DIGITALP","RP","ESTNAT",0.00,,"NON","CX","SS","B128TlD n",,"NON",,"NONE",,0.70,1948.00,"Sb  50La  30Cw  10Bf  10","Sb",73.00,8.08,80.00,3.00,"U","South","LC1","LC1","U","CC","CONVENT","PRSNT",,,"LC1","LC1","I","ImmCon","MCL",57.68,0.00,0.00,0.00,50.00,0.00,10.00,10.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,"463962041",12140.00,128.00,"B128",110.00,21016.00,554.00,"Hydr",1886.31,106291.82
"FOR","3",2008.00,"DIGITALP","RP","ESTNAT",0.00,,"NON","CX","SS","B128TlD n",,"NON",,"NONE",,0.90,1958.00,"La  50Sb  30Cw  20","La",63.00,8.08,90.00,2.00,"U","South","LC1","LC1","U","CC","CONVENT","PRSNT",,,"LC1","LC1","I","ImmCon","MCL",14.00,0.00,0.00,0.00,30.00,0.00,0.00,20.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,"463962451",12141.00,128.00,"B128",110.00,21017.00,381.00,"Hydr",96.74,337.45
"TMS","3",2008.00,"DIGITALP",,,0.00,,,,,"B136TlD n",,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,"South",,,,,,,,,,,,,,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"463958631",12145.00,136.00,"B136",110.00,21021.00,332.00,"Hydr",172.79,1234.67
"FOR","3",2008.00,"DIGITALP","RP","ESTNAT",0.00,,"NON","SI","SS","B128TlD n",,"NON",,"NONE",,0.60,1948.00,"Sb  70La  20Cw  10","Sb",73.00,8.08,70.00,3.00,"U","South","LC1","LC1","U","CC","CONVENT","PRSNT",,,"SB1","SB1","I","ImmCon","MCL",29.03,0.00,0.00,0.00,70.00,0.00,0.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,"463965168",12259.00,128.00,"B128",110.00,21061.00,781.00,"Hydr",158.68,1156.76
"FOR","3",2008.00,"DIGITALP","RP","ESTNAT",0.00,,"NON","CX","SS","B128TlD n",,"NON",,"NONE",,0.70,1958.00,"La  60Sb  30Cw  10","La",63.00,8.08,70.00,2.00,"U","South","LC1","LC1","U","CC","CONVENT","PRSNT",,,"LC1","LC1","I","ImmCon","MCL",46.21,0.00,0.00,0.00,30.00,0.00,0.00,10.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,"463959656",12260.00,128.00,"B128",110.00,21062.00,1050.00,"Hydr",824.61,25139.87
"FOR","3",2008.00,"DIGITALP","RP","ESTNAT",0.00,,"NON","CX","SS","B128TlD n",,"NON",,"NONE",,0.80,1948.00,"Sb  70Cw  10La  10Bf  10","Sb",73.00,9.09,80.00,2.00,"U","South","LC1","LC1","U","CC","CONVENT","PRSNT",,,"SB1","SB1","I","ImmCon","MCL",39.81,0.00,0.00,0.00,70.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,"463963354",12261.00,128.00,"B128",110.00,21063.00,934.00,"Hydr",295.07,4169.48
"FOR","3",2008.00,"DIGITALP","RP","ESTNAT",0.00,,"NON","SI","SS","B128TlD n",,"NON",,"NONE",,0.50,1923.00,"Sb  80La  10Bf  10","Sb",98.00,9.09,60.00,3.00,"U","South","SB1","SB3","U","CC","CONVENT","PRSNT",,,"SB1","SB1","M","MLLwCon","MCL",14.27,0.00,0.00,0.00,80.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,"483914145",16560.00,128.00,"B128",110.00,21490.00,485.00,"Hydr",1122.13,49357.68
