"METRIC","SC","AC_5","Pw","Pr","Pj","Sb","Sw","Bf","Ce","La","He","Po","Bw","Mh","OH"
"BA",0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"BA",0,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"BA",0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"BA",0,20,26.20,22.30,21.90,14.40,14.80,14.40,10.10,10.10,11.80,15.70,9.90,11.80,11.80
"BA",0,25,31.30,26.90,23.90,24.30,25.00,24.30,17.00,17.00,13.70,18.90,13.20,13.70,13.70
"BA",0,30,34.10,31.00,25.20,31.00,31.90,31.00,21.70,21.70,15.50,21.70,16.20,15.50,15.50
"BA",0,35,34.30,34.30,26.10,35.40,36.50,35.40,24.80,24.80,17.20,24.30,18.90,17.20,17.20
"BA",0,40,37.60,37.00,26.60,38.70,39.90,38.70,27.10,27.10,18.80,26.80,21.20,18.80,18.80
"BA",0,45,38.70,38.50,27.00,41.30,42.50,41.30,28.90,28.90,20.20,28.70,22.90,20.20,20.20
"BA",0,50,39.60,39.70,27.20,42.90,44.20,42.90,30.00,30.00,21.40,30.50,24.50,21.40,21.40
"BA",0,55,40.30,40.70,27.30,44.50,45.80,44.50,31.20,31.20,22.80,31.90,25.60,22.80,22.80
"BA",0,60,40.90,41.40,27.40,45.40,46.80,45.40,31.80,31.80,24.00,33.20,26.50,24.00,24.00
"BA",0,65,41.30,42.00,27.40,46.10,47.50,46.10,32.30,32.30,25.20,34.20,27.20,25.20,25.20
"BA",0,70,41.60,42.50,27.30,46.80,48.20,46.80,32.80,32.80,26.30,35.00,27.70,26.30,26.30
"BA",0,75,41.90,43.00,27.30,47.30,48.70,47.30,33.10,33.10,27.30,35.70,28.00,27.30,27.30
"BA",0,80,42.10,43.40,27.30,47.80,49.20,47.80,33.50,33.50,28.30,36.10,28.10,28.30,28.30
"BA",0,85,42.20,43.70,27.20,48.00,49.40,48.00,33.60,33.60,29.30,36.50,28.20,29.30,29.30
"BA",0,90,42.30,44.00,27.20,48.40,49.90,48.40,33.90,33.90,30.10,36.60,28.30,30.10,30.10
"BA",0,95,42.50,44.10,27.10,48.60,50.10,48.60,34.00,34.00,31.00,36.80,28.30,31.00,31.00
